path,name,id,parentId,mimeType,size,modifiedTime,owners,depth
01_PROJETOS,01_PROJETOS,1xPgOdycrx6d-D4mr6ibK7TiRUZ-50T15,root,application/vnd.google-apps.folder,,2026-05-22T11:33:43.540Z,davijadielson@gmail.com,1
02_FOTOS_SOLTAS,02_FOTOS_SOLTAS,15aQ8S_Vm2paRC-ebwn3vOIzJp4jpL7Pl,root,application/vnd.google-apps.folder,,2026-05-22T11:33:48.862Z,davijadielson@gmail.com,1
03_LOGIKA_NEGOCIO,03_LOGIKA_NEGOCIO,1mXTHn73gmpz3Yf5eKYqEkkwP7D6pSrt2,root,application/vnd.google-apps.folder,,2026-05-22T11:33:55.957Z,davijadielson@gmail.com,1
04_PESSOAL,04_PESSOAL,128b8jRLHNDYInSvxWp4Y43ZFeYvcf_aS,root,application/vnd.google-apps.folder,,2026-07-06T05:58:14.427Z,davijadielson@gmail.com,1
05_OUTROS,05_OUTROS,1nr7j1ANmbN1H5d-_5Uiex5ilLV1Gkpns,root,application/vnd.google-apps.folder,,2026-05-22T11:34:08.076Z,davijadielson@gmail.com,1
CONTADOS CELULAR,CONTADOS CELULAR,1fWR5KuiTEgmJTUUS62VUpOZZfUNQPf4_,root,application/vnd.google-apps.folder,,2018-09-06T01:54:25.270Z,davijadielson@gmail.com,1
ESTUDOS,ESTUDOS,1v83qc8EBnAtDlKXFpADKg0AiJTqr309G,root,application/vnd.google-apps.folder,,2026-07-06T02:41:20.504Z,davijadielson@gmail.com,1
EXCEL  e SHEETS, EXCEL  e SHEETS,1YM3J9OgK_X9jb_BNNPOaN_wEbuQNwt30,root,application/vnd.google-apps.folder,,2026-07-06T04:13:36.025Z,davijadielson@gmail.com,1
FINANCEIRO,FINANCEIRO,1UfyvuOhV9jMUW47tbxGJ5MB1sNIWB4D7,root,application/vnd.google-apps.folder,,2026-07-07T03:16:45.999Z,davijadielson@gmail.com,1
FORMULÁRIOS,FORMULÁRIOS,1363Ca5U98y3Gnr7XjBA1HWypeGGHdarr,root,application/vnd.google-apps.folder,,2026-07-06T04:17:55.694Z,davijadielson@gmail.com,1
Google Earth,Google Earth,1_SjXW2ziELADc9-Dcw7to8PJ-8huIjzK,root,application/vnd.google-apps.folder,,2024-11-06T02:22:47.535Z,davijadielson@gmail.com,1
PDF's,PDF's,10Rj5S22LRPV5Jxc05BTATEBYPt1HY0yP,root,application/vnd.google-apps.folder,,2026-07-06T04:13:19.092Z,davijadielson@gmail.com,1
PERFIL DA EMPRESA LÓGIKA CREATIVE,PERFIL DA EMPRESA LÓGIKA CREATIVE,1p2ibCUenge-zMD5nYkvCRv-ex7Dz_JbS,root,application/vnd.google-apps.folder,,2025-09-18T15:48:56.823Z,davijadielson@gmail.com,1
POWER POINT,POWER POINT,1O2WQEypulA83S8jQon5oxyu4jTUcp2oF,root,application/vnd.google-apps.folder,,2026-07-06T05:55:09.628Z,davijadielson@gmail.com,1
