size_bytes,size_human,path,id,mimeType
2147429188,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-001 (2).zip,17SGVHIH7L7p_scjIKpU3ZODMEBlLIhMk,application/zip
2147429188,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-001.zip,18JVzKIAYEH_Yw8W2tpKfSDDE9OIcb6Sk,application/zip
2147429188,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-001 (2).zip,1I0j3yx4E5SA4gaJtCTVEP0SQ3CcKbbYN,application/zip
2147429188,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-001 (2).zip,1j1A8VPhs2wB9mUTZEQ3tF591pG04PQVa,application/zip
2147429188,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-001.zip,1hmdHLO9xMqlKfOGw2290xV3IbjjtXu6A,application/zip
2147429188,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-001.zip,1HYreRy_0qWGERbr9y_gEuparsPlp2o8n,application/zip
2147391507,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-016.zip,1gee5DboL_sUyRTPW3fiTQh5LGbRdi88Q,application/zip
2147391507,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-016.zip,100pOUqgCvz13reYNWZBVQRSNcPNG5MmU,application/zip
2147391507,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-016.zip,1CLe1HTq6vamK699YPKuFZQbFRAag6PRg,application/zip
2147341509,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-004.zip,1dwjWQKFJUvGZ1QxThTosP1LLD1hjQcd2,application/zip
