path,name,id,mimeType,size,modifiedTime
ESTUDOS,ESTUDOS,1v83qc8EBnAtDlKXFpADKg0AiJTqr309G,application/vnd.google-apps.folder,,2026-07-06T02:41:20.504Z
CURSOS_EBOOKS,CURSOS_EBOOKS,15zp6JhaEC9EviRo-Fg2GlCCPxhWZLTlR,application/vnd.google-apps.folder,,2026-07-05T21:12:02.000Z
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS,A CIÊNCIA E ESTRATÉGIA DE VENDAS,1dADC7woIlgSyGBdgfOfAFGPfE8Ah2De9,application/vnd.google-apps.folder,,2026-07-05T21:13:17.000Z
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/CROQUI.pdf,CROQUI.pdf,1THgcFJadp9ubztLb9opcMPcmPM2rNW9s,application/pdf,144922,2026-01-07T15:45:57.000Z
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/EBOOK.pdf,EBOOK.pdf,1KGhOgmsx5fLe9AnxWEH71YDqEJy1gAK8,application/pdf,12754131,2026-01-07T15:41:59.000Z
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR.html,MEU PERFIL DE VENDEDOR.html,1Fo92AHkcDWKw-Vyn5uPg9VdZHfyYEvH3,text/html,59277,2026-01-07T15:40:53.000Z
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files,MEU PERFIL DE VENDEDOR_files,1UinN755T_s1hsjLke8nouluhNlcCRfB5,application/vnd.google-apps.folder,,2026-07-05T21:47:16.000Z
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/304-d2f779a0835524f8.js,304-d2f779a0835524f8.js,19c_Yv3UV3Yup7yu6lC2J6ExI41wZ67sy,text/javascript,148246,2026-01-07T15:40:53.000Z
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/637-4fa1f162165cdea8.js,637-4fa1f162165cdea8.js,13RtABOxWkwIzs4jzwUuxzsGUS7VnmCin,text/javascript,12247,2026-01-07T15:40:53.000Z
CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/6739242d27122036.css,6739242d27122036.css,1vWjss0mAY8oLV3Qw91mtfRvThr89LDk_,text/css,528244,2026-01-07T15:40:52.000Z
