path,name,id,mimeType,size,modifiedTime
FINANCEIRO,FINANCEIRO,1UfyvuOhV9jMUW47tbxGJ5MB1sNIWB4D7,application/vnd.google-apps.folder,,2026-07-07T03:16:45.999Z
JADIELSON/EBOOK's/CONVERTIDOS EM AZW3/Como-faturar-3k-vendendo-produtos-de-Social-Media.azw3,Como-faturar-3k-vendendo-produtos-de-Social-Media.azw3,14cT1vOLNwtwvy22lJLBW7ShYleB6H3ld,application/octet-stream,1191080,2026-01-11T14:09:57.000Z
JADIELSON/EBOOK's/CONVERTIDOS EM EPUB/Como faturar 3k vendendo produtos de Social Media.epub,Como faturar 3k vendendo produtos de Social Media.epub,1jBihdnj4vuWlKquqxxVV2WkHGv7h-xU4,application/epub+zip,1095934,2026-01-11T14:35:46.000Z
JADIELSON/EBOOK's/Como faturar 3k vendendo produtos de Social Media.pdf,Como faturar 3k vendendo produtos de Social Media.pdf,1G_6ikByUMoHdZkRbe1RvSwJeW_HdtfzX,application/pdf,5579866,2026-01-06T21:36:00.000Z
JADIELSON/ROTINAS/cartao_anti_estresse_operacao_do_dia.png,cartao_anti_estresse_operacao_do_dia.png,1NTPTF6dPcCKx0lP61c6w7PBvtHSyEEq1,image/png,529489,2025-09-21T12:45:41.000Z
ROTINAS/cartao_anti_estresse_operacao_do_dia.png,cartao_anti_estresse_operacao_do_dia.png,1agstGE37vUto3jpKLJKe7GXtCEnxytKe,image/png,529489,2025-09-21T12:45:41.280Z
EBOOKs/._Como faturar 3k vendendo produtos de Social Media.pdf,._Como faturar 3k vendendo produtos de Social Media.pdf,11dJIQeJkV7W9G644xuDesZ6YkgAFtv-s,application/pdf,4096,2026-07-06T06:33:31.436Z
EBOOKs/CONVERTIDOS EM AZW3/._Como-faturar-3k-vendendo-produtos-de-Social-Media.azw3,._Como-faturar-3k-vendendo-produtos-de-Social-Media.azw3,1IuaPIVcbgudxQ73qe1m0zfcQtDzxe5ap,application/octet-stream,4096,2026-07-06T06:33:54.148Z
EBOOKs/CONVERTIDOS EM AZW3/Como-faturar-3k-vendendo-produtos-de-Social-Media.azw3,Como-faturar-3k-vendendo-produtos-de-Social-Media.azw3,1hRpen2Aw0qrARCZ-cZsFAmcP3NpxdAJh,application/octet-stream,1191080,2026-07-06T07:02:57.001Z
EBOOKs/CONVERTIDOS EM EPUB/._Como faturar 3k vendendo produtos de Social Media.epub,._Como faturar 3k vendendo produtos de Social Media.epub,1KhBOB2HVc0fNpKJIMO5Zsp_XEBqgG8yq,application/epub+zip,4096,2026-07-06T06:33:56.006Z
EBOOKs/CONVERTIDOS EM EPUB/Como faturar 3k vendendo produtos de Social Media.epub,Como faturar 3k vendendo produtos de Social Media.epub,183e7j31eoAmhW-Fn3LXsFu17u767u4zG,application/epub+zip,1095934,2026-07-06T07:03:15.567Z
EBOOKs/Como faturar 3k vendendo produtos de Social Media.epub,Como faturar 3k vendendo produtos de Social Media.epub,1JdvU_9c7QGc3L1Q1I8jgX8M9zkPDXjK3,application/epub+zip,1095934,2026-01-11T14:36:55.672Z
EBOOKs/Como faturar 3k vendendo produtos de Social Media.epub,Como faturar 3k vendendo produtos de Social Media.epub,1aO2FIkddtYY9Zt3nCC3tnPAOSlVxwA6H,application/epub+zip,1095934,2026-01-11T14:41:18.383Z
EBOOKs/Como faturar 3k vendendo produtos de Social Media.epub,Como faturar 3k vendendo produtos de Social Media.epub,1ZOaXBCyWc347cZAWJgUa1ijH_HzCAuMP,application/epub+zip,1095934,2026-01-11T14:40:22.792Z
EBOOKs/Como faturar 3k vendendo produtos de Social Media.pdf,Como faturar 3k vendendo produtos de Social Media.pdf,1OzhWvlefhxkrUFgwibQ5QtCDd0eduO_X,application/pdf,5579866,2026-07-06T06:33:50.174Z
PLANILHA DE CÁLCULO VALOR DA HORA DE TRABALHO - LÓGIKA, PLANILHA DE CÁLCULO VALOR DA HORA DE TRABALHO - LÓGIKA,1EctKFJqehDmOIFnp9h3zLSKWez-QuFvObnMoLJpDHfc,application/vnd.google-apps.spreadsheet,67753,2026-06-04T23:52:05.926Z
2026/07-Julho/02-Comprovantes-Pagos,02-Comprovantes-Pagos,1FGFIaDwsUK1u-CxmBhaI_TldjQ29Bn8h,application/vnd.google-apps.folder,,2026-07-07T04:33:33.567Z
2026/07-Julho/02-Comprovantes-Pagos/2026-07-06__AGUA__conta-atrasada-01__R-76-87__PAGO.jpg,2026-07-06__AGUA__conta-atrasada-01__R-76-87__PAGO.jpg,177O51rqOvR0F7nTBgxK_QVon9AnRyCum,image/jpeg,50758,2026-07-07T04:33:35.577Z
2026/07-Julho/02-Comprovantes-Pagos/2026-07-06__AGUA__conta-atrasada-02__R-89-77__PAGO.jpg,2026-07-06__AGUA__conta-atrasada-02__R-89-77__PAGO.jpg,1XpKH71vQitFVkvESPUOwgWav38WXUqot,image/jpeg,50542,2026-07-07T04:33:37.964Z
2026/07-Julho/02-Comprovantes-Pagos/2026-07-06__AGUA__conta-atrasada-03__R-100-60__PAGO.jpg,2026-07-06__AGUA__conta-atrasada-03__R-100-60__PAGO.jpg,199Z3EqO2X5l_cvd1LvdtqqKxGL-mJd4a,image/jpeg,51223,2026-07-07T04:33:40.861Z
2026/07-Julho/02-Comprovantes-Pagos/2026-07-06__CARRO__bradesco-financiamento-geraldo-jose-dos-santos__R-1041-07__PAGO.jpg,2026-07-06__CARRO__bradesco-financiamento-geraldo-jose-dos-santos__R-1041-07__PAGO.jpg,1nlWhlkWCZqgeTDh8Yh9SjfeJeXS2xXsn,image/jpeg,47054,2026-07-07T04:33:43.776Z
2026/07-Julho/02-Comprovantes-Pagos/2026-07-06__CASA__prestacao-casa-debito-automatico__R-535-25__PAGO.jpg,2026-07-06__CASA__prestacao-casa-debito-automatico__R-535-25__PAGO.jpg,1eHOEx0AxSIK-jrT64hwNiuT8xj8uONTi,image/jpeg,40782,2026-07-07T04:33:46.647Z
2026/07-Julho/02-Comprovantes-Pagos/2026-07-06__ESCOLA__eloah-mensalidade-futura-paga-por-equivoco__R-380-00__PAGO-VERIFICAR.pdf,2026-07-06__ESCOLA__eloah-mensalidade-futura-paga-por-equivoco__R-380-00__PAGO-VERIFICAR.pdf,18G1v-s2fNjBNY3zBYWq5NHHXhCHLyxJs,application/pdf,166901,2026-07-07T04:39:29.824Z
2026/07-Julho/02-Comprovantes-Pagos/2026-07-06__LUZ__equatorial-alagoas__R-159-77__PAGO.jpg,2026-07-06__LUZ__equatorial-alagoas__R-159-77__PAGO.jpg,1VXxUoTRgv98GgIOkZmEU1banq41ne33k,image/jpeg,40268,2026-07-07T04:33:50.203Z
2026/07-Julho/02-Comprovantes-Pagos/2026-07-06__MERCADO__compras-cartao-sogra__R-639-57__PAGO.jpg,2026-07-06__MERCADO__compras-cartao-sogra__R-639-57__PAGO.jpg,1TnIGs_rIU6bApEfmLkKsar62oF4EEEFy,image/jpeg,39588,2026-07-07T04:33:53.144Z
