path,name,id,mimeType,size,modifiedTime
02_FOTOS_SOLTAS,02_FOTOS_SOLTAS,15aQ8S_Vm2paRC-ebwn3vOIzJp4jpL7Pl,application/vnd.google-apps.folder,,2026-05-22T11:33:48.862Z
CURSOS_EBOOKS/MATRIZ DE AIZEN HAWARD.png,MATRIZ DE AIZEN HAWARD.png,1jxuYOt8-xiu-7K90ghllWxQ-oVOrOUDB,image/png,279060,2024-11-26T18:34:04.000Z
CURSOS_EBOOKS/NOTION/01. Cronograma de estudo com Notion.mp4,01. Cronograma de estudo com Notion.mp4,1COIMcu-P1Rh6EwJwncUS5RlSWMYlGbZy,video/mp4,201231273,2026-02-09T03:45:17.000Z
CURSOS_EBOOKS/NOTION/02 - Organização de tarefas com Notion.mp4,02 - Organização de tarefas com Notion.mp4,1nYT1qqvqSrSDDqWczmsCysoGo3_76h-M,video/mp4,64088451,2026-02-09T03:54:55.000Z
CURSOS_EBOOKS/NOTION/Aula 6 - Notion na prática.mp4,Aula 6 - Notion na prática.mp4,1I_PZhow7rX6bDEb0hqYH1f8B2UOrRVaZ,video/mp4,140938976,2026-02-09T04:01:35.000Z
CURSOS_EBOOKS/NOTION/Live #12 - Organização de Projetos com Notion.mp4,Live #12 - Organização de Projetos com Notion.mp4,1xOn-wJkICbHAsJklE8IbI-SjEhIH6mT0,video/mp4,175473843,2026-02-09T03:22:18.000Z
CURSOS_EBOOKS/VENDE-C/CERTIFICADOS/Certificado - (2) PROSPECÇÃO.png,Certificado - (2) PROSPECÇÃO.png,1UZ_zpootvlBkYlzC8PdsaocPc03pOriZ,image/png,158798,2026-01-11T17:52:24.000Z
CURSOS_EBOOKS/VENDE-C/CERTIFICADOS/Certificado - (3) APRESENTAÇÃO.png,Certificado - (3) APRESENTAÇÃO.png,13fEw0XzS9_vjRHe8EKP_6jb6FZ_VHc_q,image/png,155961,2026-02-05T11:45:46.000Z
CURSOS_EBOOKS/VENDE-C/CERTIFICADOS/Certificado - (5) CANAIS E CULTURA.png,Certificado - (5) CANAIS E CULTURA.png,1OooVmamekwjO85pwqdZk1oKgEOO5rzUC,image/png,155007,2026-03-16T11:31:57.000Z
CURSOS_EBOOKS/VENDE-C/CERTIFICADOS/Certificado - VENDE-C - Jadielson Davi Dos Santos - PRODUTIVIDADE.png,Certificado - VENDE-C - Jadielson Davi Dos Santos - PRODUTIVIDADE.png,1j2nyigBS9H_sf5nfBYCrkaYXxn5Toz55,image/png,385843,2025-12-13T22:12:02.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Modulo 11 - Criando uma vinheta para o canal ESCOLA PARA YOUTUBERS/Hotmart Club - Aula Única.MP4,Hotmart Club - Aula Única.MP4,1Xrobwnxlas9JgnINwou6-3v22BLLl1L2,video/mp4,127119314,2024-01-21T02:10:28.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 01 - Conhecendo a Ferramenta/01- Conhecendo o After Effects.MP4,01- Conhecendo o After Effects.MP4,1ZJ5vbjK5yB2SuxA6-nqa2QULuQgfDLZP,video/mp4,28809518,2024-01-21T02:22:38.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 01 - Conhecendo a Ferramenta/02 - Como comprar o After Effects.MP4,02 - Como comprar o After Effects.MP4,1ZSPe-riQHbT7yZmYZK_SrZYT7-WWbC5H,video/mp4,20632909,2024-01-21T02:16:16.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 01 - Conhecendo a Ferramenta/03 - Requisitos do Adobe After Effects.MP4,03 - Requisitos do Adobe After Effects.MP4,18GDf0QnmxJ7QVLYKh8Uj2Gn8D2J-cxLC,video/mp4,24325758,2024-01-21T02:16:34.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 01 - Conhecendo a Ferramenta/SEJA BEM VINDO AO ME ENSINA AE!.MP4,SEJA BEM VINDO AO ME ENSINA AE!.MP4,1i2HQHKtQ65IGQhEJj6gCScfs3pNUOwaA,video/mp4,126426589,2024-01-21T02:00:50.000Z
"CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 02 - Entendendo o After Effects/04 - Dinâmica de trabalho- comps, camadas e render.MP4","04 - Dinâmica de trabalho- comps, camadas e render.MP4",1_4PyfanusJ7hS-aajkfSgpiY77GwoGWp,video/mp4,35216524,2024-01-21T02:01:00.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 02 - Entendendo o After Effects/05 - Interface.MP4,05 - Interface.MP4,1qieBSzCPinwbr7u14Pje4bqSxrWyqnaQ,video/mp4,46579912,2024-01-21T02:00:42.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 02 - Entendendo o After Effects/06 - Timeline.MP4,06 - Timeline.MP4,1WggTRW7-f6H3SXlAlwrZWhbY8fq0cx1a,video/mp4,44280007,2024-01-21T02:01:22.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 02 - Entendendo o After Effects/07 - Ferramentas escondidas.MP4,07 - Ferramentas escondidas.MP4,1TtD9CkqDbYvRtUvy50mgW3aFgoOPAu4u,video/mp4,31361100,2024-01-21T02:28:10.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 02 - Entendendo o After Effects/08 - Importando arquivos.MP4,08 - Importando arquivos.MP4,1_0bwtydxeE0Gqu0qrICIdoBvvSCyBD9k,video/mp4,24134509,2024-01-21T02:00:54.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 03 - EDIÇÃO no After Effects!/09 - Criando composições.MP4,09 - Criando composições.MP4,12JByrQ3gVm5GaOAb05V8RWydcGxt5Uag,video/mp4,34514322,2024-01-21T02:01:22.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 03 - EDIÇÃO no After Effects!/10 - Tipos de camadas e objetos.MP4,10 - Tipos de camadas e objetos.MP4,1ax1eZeOd8kdEgmGLee-9maZxsMJr6PHn,video/mp4,39092478,2024-01-21T02:01:08.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 03 - EDIÇÃO no After Effects!/11 - Controle de vídeos.MP4,11 - Controle de vídeos.MP4,1BzyXAwA4KGkJAp-4_7-m2_x7WUN4GcOI,video/mp4,17692038,2024-01-21T02:01:16.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 03 - EDIÇÃO no After Effects!/12 - Pre-comp.MP4,12 - Pre-comp.MP4,1MFQu_W-Qu2DSRJYimqlLnv6orGI-U8Ug,video/mp4,20192202,2024-01-21T02:00:44.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 03 - EDIÇÃO no After Effects!/13 - Interpret Footage.MP4,13 - Interpret Footage.MP4,1JO6eXPitc6S8SYGHAlXoaPDIKpaSmUoc,video/mp4,15079025,2024-01-21T02:01:08.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 03 - EDIÇÃO no After Effects!/14 - Substituir camadas.MP4,14 - Substituir camadas.MP4,1PTfnGCxs3_3v337TyJbL2trrSU0y6VDC,video/mp4,15294718,2024-01-21T02:00:52.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 03 - EDIÇÃO no After Effects!/15 - Time Remapping.MP4,15 - Time Remapping.MP4,1AqJn5CM5Wq4GZuaL3itzuldQHdKqVjTQ,video/mp4,40884045,2024-01-21T02:14:10.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 03 - EDIÇÃO no After Effects!/16 - Adicionando Efeitos (effects).MP4,16 - Adicionando Efeitos (effects).MP4,1z0DzcQ3RpoBbO93hntbbHGda8ZENVUSm,video/mp4,47221035,2024-01-21T02:14:16.000Z
