path,name,id,mimeType,size,modifiedTime
03_LOGIKA_NEGOCIO,03_LOGIKA_NEGOCIO,1mXTHn73gmpz3Yf5eKYqEkkwP7D6pSrt2,application/vnd.google-apps.folder,,2026-05-22T11:33:55.957Z
PERFIL DA EMPRESA LÓGIKA CREATIVE,PERFIL DA EMPRESA LÓGIKA CREATIVE,1p2ibCUenge-zMD5nYkvCRv-ex7Dz_JbS,application/vnd.google-apps.folder,,2025-09-18T15:48:56.823Z
PROPOSTAS,PROPOSTAS,1ytWOD3DwDTB4-M4I3hCUc8byDRAM5Zuo,application/vnd.google-apps.folder,,2026-07-06T04:18:16.078Z
CURSOS_EBOOKS/EMPRESA 1P,EMPRESA 1P,1V7YVDLFOgsCqDZNKbD9rtF2LSSdmD3zr,application/vnd.google-apps.folder,,2026-06-24T13:55:09.000Z
CURSOS_EBOOKS/EMPRESA 1P/CRMaster_Gestão Automatizada de Clientes,CRMaster_Gestão Automatizada de Clientes,1TGIyKuALQMCCFCegmXZJdjqaj1YrvrrD,application/vnd.google-apps.folder,,2026-07-05T22:46:40.000Z
CURSOS_EBOOKS/EMPRESA 1P/CRMaster_Gestão Automatizada de Clientes/AULA+FORMS.pdf,AULA+FORMS.pdf,1QrcBM6v4XF8vYjMUO4hKs5CAl8taS1uh,application/pdf,38399,2026-06-24T13:53:49.000Z
CURSOS_EBOOKS/EMPRESA 1P/CRMaster_Gestão Automatizada de Clientes/CRMaster+[DOWNLOAD].pdf,CRMaster+[DOWNLOAD].pdf,12Gvlto0MKft5pfZW5LB9oSKpQXCPKl6Y,application/pdf,38109,2026-06-24T13:53:22.000Z
CURSOS_EBOOKS/VENDE-C/IdentificandoPerfildeClienteIdealICP.pdf,IdentificandoPerfildeClienteIdealICP.pdf,1FgRP9V_h0QaU9sqF6oQkGS3Ejr23y0cs,application/pdf,1180730,2026-01-04T18:09:34.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 10 - PROJETO 01 ELEMENTOS DE VÍDEO PARA O YOUTUBE/01 - Briefing de criação do projeto.MP4,01 - Briefing de criação do projeto.MP4,1kAz5gNYWNEq7qEHfZeVNnRlZy1rkIrrm,video/mp4,40961361,2024-01-21T02:01:12.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 13 - AULA ESPECIAL + PROJETO 02 TIPOGRAFIA PARA LYRIC VIDEOS/03 - AULA ESPECIAL- Banda ZAMBAZIM - Maria Joana LYRIC VIDEO + BRIEFING.MP4,03 - AULA ESPECIAL- Banda ZAMBAZIM - Maria Joana LYRIC VIDEO + BRIEFING.MP4,1hKo_WiRvK2Nb2JipvoCazm97JE-tnZaJ,video/mp4,71427221,2024-01-21T02:01:28.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 13 - AULA ESPECIAL + PROJETO 02 TIPOGRAFIA PARA LYRIC VIDEOS/03.1 - AULA ESPECIAL- Banda ZAMBAZIM - Maria Joana LYRIC VIDEO + BRIEFING_2.MP4,03.1 - AULA ESPECIAL- Banda ZAMBAZIM - Maria Joana LYRIC VIDEO + BRIEFING_2.MP4,1iaLKYRs3Vk9mJOBm-e45F_uEfsfAYWbL,video/mp4,118175783,2024-01-21T02:01:28.000Z
JADIELSON/PESSOAIS - JADIELSON/MENTORIA INGRID/CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE MENTORIA - Jahdielson.pdf,CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE MENTORIA - Jahdielson.pdf,1YYh8M6RUKbJIimy0514UTLQOKxh_XtVT,application/pdf,139453,2024-12-04T20:44:47.000Z
CURSOS/AGENCIA DE ELITE/[Modelo] Briefing Agência.docx,[Modelo] Briefing Agência.docx,16Tpbhn-YPHVutb_7uDOz9_yxQc-2RD0d,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1026321,2026-07-06T06:33:52.919Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-001.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-001.zip,1KZDluKlecZcxAzB7tCtCg-xh1mPaQsbD,application/zip,4096,2026-07-05T05:41:37.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-002.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-002.zip,1gWkGlR8VPy1VjxmZNKRBagWSo_MT31uG,application/zip,4096,2026-07-05T05:35:45.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-003.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-003.zip,1SAb0KMo3qiS1LML9MjtKzhxZin78zs6i,application/zip,4096,2026-07-05T05:35:06.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-004.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-004.zip,1-zF41JvC5JZXq_GL6HZM7Hhzd8c5DChR,application/zip,4096,2026-07-05T05:36:57.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-005.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-005.zip,1_7JJ8kpQKSd8toADGjHZqgv4j0sKzkq4,application/zip,4096,2026-07-05T05:37:34.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-006.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-006.zip,1jKb2teKuK0lJFRPC345602g-dSpwxGuE,application/zip,4096,2026-07-05T05:40:58.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-007.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-007.zip,1wtvpgtByya8KvXncjmoSyTv3_vhMeTjg,application/zip,4096,2026-07-05T05:38:45.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-008.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-008.zip,1vEydMbKu_DnhdYACAzy2XtS-6h0P37G-,application/zip,4096,2026-07-05T05:39:17.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-009.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-009.zip,1omqoPm_zSBeK3rCIed4PuPhKZ018aLmc,application/zip,4096,2026-07-05T05:40:19.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-010.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-010.zip,1MxLLSgoRVOK2Fmwenagr7s8pEqWSXWs7,application/zip,4096,2026-07-05T05:36:19.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-011.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-011.zip,1Iq91eK9SP8beUDt6aOi1Cla8CEJ-Rw9d,application/zip,4096,2026-07-05T05:38:06.000Z
CURSOS/ASIMOV/._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-012.zip,._07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-012.zip,1QxO_HLOFBLtxA0vuJpjveHzuVx9yumUE,application/zip,4096,2026-07-05T05:39:41.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-001.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-001.zip,1I8ZlxnF5GObIX0utoKEyG_hcSQ_b15BF,application/zip,2144333741,2026-05-29T12:45:28.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-002.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-002.zip,1fksGNJVAJsKeKlR6dNp2zMCEm-henJEq,application/zip,2127996908,2026-05-29T12:45:27.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-003.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-003.zip,1wflH2C7NudLWKN_88E51Qpbl4wF1rg8n,application/zip,2139805346,2026-05-29T12:45:28.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-004.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-004.zip,1ObzAa8M6R-Oy9T5Cdrpe4BLPbHveJG4M,application/zip,2138058551,2026-05-29T12:45:28.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-005.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-005.zip,1R8owTY_lbTwMocptu4vDaBYDqRxQgbJP,application/zip,2126506904,2026-05-29T12:45:27.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-006.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-006.zip,1Y9r_Q-G-dhYLLFk48llRXHHTt4NRI05W,application/zip,2126923156,2026-05-29T12:45:27.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-007.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-007.zip,1v_VUe55JqQD4c_fCn-83Sb8XAkWmBVav,application/zip,2121863735,2026-05-29T12:45:22.000Z
CURSOS/ASIMOV/07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-008.zip,07 - [TRILHA] Python Office - Python para Empresas-20260529T122935Z-3-008.zip,1LFzdLauL9vZcNK-otF9BlDI5ZvqOJG1Q,application/zip,2099408320,2026-05-29T12:45:03.000Z
