path,name,id,mimeType,size,modifiedTime
CURSOS_EBOOKS/CONTRATOEQJC.pdf,CONTRATOEQJC.pdf,1Cp5LCWTi7TSsM83ckxb3ZmxYawherp4W,application/pdf,1063754,2026-04-16T04:16:03.000Z
CURSOS_EBOOKS/NOTION/02 - Organização de tarefas com Notion.mp4,02 - Organização de tarefas com Notion.mp4,1nYT1qqvqSrSDDqWczmsCysoGo3_76h-M,video/mp4,64088451,2026-02-09T03:54:55.000Z
CURSOS_EBOOKS/NOTION/Live #12 - Organização de Projetos com Notion.mp4,Live #12 - Organização de Projetos com Notion.mp4,1xOn-wJkICbHAsJklE8IbI-SjEhIH6mT0,video/mp4,175473843,2026-02-09T03:22:18.000Z
CURSOS_EBOOKS/ULTRA INTELIGÊNCIA/Perguntas-Frequentes-Ultrainteligencia.pdf,Perguntas-Frequentes-Ultrainteligencia.pdf,1cDjvesBfeykdcbXPLYaGNRimeX9afolb,application/pdf,71739,2026-04-13T01:38:11.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/41 - Crise de Identidade - Morph de Shapes.MP4,41 - Crise de Identidade - Morph de Shapes.MP4,1aziYHNtjFSpJUUBvfXPooPIRyQ_kvgqB,video/mp4,22393664,2024-01-21T02:21:34.000Z
CURSOS_EBOOKS/VIDEO AULAS/⭐️ Me Ensina AE! Curso de After Effects - Brainstorm Academy/Módulo 05 - Textos e Paths/Materiais/41 CrisedeIdentidade.rar,41 CrisedeIdentidade.rar,11ohNJF8Rym_7tH9GMaA55yTiWPhykqXO,application/rar,6352,2024-01-21T02:26:48.000Z
JADIELSON/EBOOK's/As 48 leis do poder (Robert Greene) (z-lib.org).pdf,As 48 leis do poder (Robert Greene) (z-lib.org).pdf,1MHtNboqC53RqNNj4Q1WK-VHGqlzhkh1S,application/pdf,30319892,2026-01-10T15:59:39.000Z
JADIELSON/PESSOAIS - JADIELSON/MENTORIA INGRID/CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE MENTORIA - Jahdielson.pdf,CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE MENTORIA - Jahdielson.pdf,1YYh8M6RUKbJIimy0514UTLQOKxh_XtVT,application/pdf,139453,2024-12-04T20:44:47.000Z
JADIELSON/PESSOAIS - JADIELSON/MENTORIA INGRID/CONTRATO_DE_PRESTACAO_DE_SERVICOS_DE_MENTORIA_-_Jahdielson_assinado.pdf,CONTRATO_DE_PRESTACAO_DE_SERVICOS_DE_MENTORIA_-_Jahdielson_assinado.pdf,1AH2bbcK1qJf1eZFzYNpyo6hipcwt9iNH,application/pdf,169334,2024-12-04T20:46:56.000Z
JADIELSON/ROTINAS/cartao_anti_estresse_operacao_do_dia.png,cartao_anti_estresse_operacao_do_dia.png,1NTPTF6dPcCKx0lP61c6w7PBvtHSyEEq1,image/png,529489,2025-09-21T12:45:41.000Z
ROTINAS/cartao_anti_estresse_operacao_do_dia.png,cartao_anti_estresse_operacao_do_dia.png,1agstGE37vUto3jpKLJKe7GXtCEnxytKe,image/png,529489,2025-09-21T12:45:41.280Z
CURSOS/CURSOS DE INGLÊS/🎓 Curso de Inglês Junior Silveira 2.0/MODULO 1/Modulo 1 -Direitos e garantias  Curso de Inglês Junior Silveira/CONTRATO+CURSO+DE+INGLE-S+JUNIOR+SILVEIRA+4.0.pdf,CONTRATO+CURSO+DE+INGLE-S+JUNIOR+SILVEIRA+4.0.pdf,1TNN2Wf4WLvd4tS2G5iljxrca2ibrNjkJ,application/pdf,55243,2026-07-06T06:34:19.553Z
CURSOS/CURSOS DE INGLÊS/🎓 Curso de Inglês Junior Silveira 2.0/MODULO 3/Modulo 3 material/Modulo 3/Aula19HOMEWORK fazer perguntas sobre situações imaginárias,Aula19HOMEWORK fazer perguntas sobre situações imaginárias,1w8u7TyrtABZOT18a3CgwQYLgr2CZ9ibV,application/vnd.google-apps.folder,,2026-07-06T06:35:09.359Z
CURSOS/CURSOS DE INGLÊS/🎓 Curso de Inglês Junior Silveira 2.0/MODULO 3/Modulo 3 material/Modulo 3/Aula19HOMEWORK fazer perguntas sobre situações imaginárias/HOMEWORKAula19.pdf,HOMEWORKAula19.pdf,1W49V2cGfxDjlEGcoNc0hmihAhaAR1PDA,application/pdf,565911,2026-07-06T06:35:46.762Z
CURSOS/CURSOS DE INGLÊS/🎓 Curso de Inglês Junior Silveira 2.0/MODULO 3/Modulo 3 material/Modulo 3/Aula19HOMEWORK fazer perguntas sobre situações imaginárias/dialogue_aula19.mp3,dialogue_aula19.mp3,1SM4CUdKmIGwTi8zvza2U7DU3QrS8IOFP,audio/mpeg,438600,2026-07-06T06:35:46.362Z
CURSOS/CURSOS DE INGLÊS/🎓 Ingles do Jerry 3.0/15. Aprendendo com músicas/31. Passenger- Let Her Go/Materiais/EXERCICIOPassengerLetHerGo.pdf,EXERCICIOPassengerLetHerGo.pdf,1rFzPy10ZhXc2shFa_nHiCiYcrXRQsqga,application/pdf,75928,2026-07-06T06:35:36.174Z
CURSOS/CURSOS DE INGLÊS/🎓 Inglês 5.0 - Mairo Vergara 2021 (Telegram),🎓 Inglês 5.0 - Mairo Vergara 2021 (Telegram),1A7UWQFUafu2XJSZgHy2JRZQ23KiON9dM,application/vnd.google-apps.folder,,2026-07-06T06:33:43.585Z
CURSOS/CURSOS DE INGLÊS/🎓 Inglês 5.0 - Mairo Vergara 2021 (Telegram)/ACESSO AO CURSO.docx,ACESSO AO CURSO.docx,18kNSBF_zc4rO3dECFZToaw0igugH_kGi,application/vnd.openxmlformats-officedocument.wordprocessingml.document,6445,2026-07-06T06:34:07.882Z
EBOOKs/._As 48 leis do poder (Robert Greene) (z-lib.org).pdf,._As 48 leis do poder (Robert Greene) (z-lib.org).pdf,12UxRSbRkia5wF7XRGWr_i_FJHzVX8dWJ,application/pdf,4096,2026-07-06T06:33:31.078Z
EBOOKs/As 48 leis do poder (Robert Greene) (z-lib.org).pdf,As 48 leis do poder (Robert Greene) (z-lib.org).pdf,1jzXpguOl9OGjRc6sqP4wPivGNfPh46ZU,application/pdf,30319892,2026-07-06T06:33:45.936Z
2026/07-Julho/02-Comprovantes-Pagos/2026-07-06__MERCADO__compras-cartao-sogra__R-639-57__PAGO.jpg,2026-07-06__MERCADO__compras-cartao-sogra__R-639-57__PAGO.jpg,1TnIGs_rIU6bApEfmLkKsar62oF4EEEFy,image/jpeg,39588,2026-07-07T04:33:53.144Z
BRIEFING PARA IDENTIDADE VISUAL,BRIEFING PARA IDENTIDADE VISUAL,1pg2wFusjqwFfA4vbY_BDKrykLPxXj_1xO7gCqbu_rvY,application/vnd.google-apps.form,280509,2025-10-08T13:03:39.535Z
Digitalização Proesp - JADIELSON DAVI DOS SANTOS.pdf,Digitalização Proesp - JADIELSON DAVI DOS SANTOS.pdf,127Jdb8Na2HgCm2mkgvomvw0wULoJYbVA,application/pdf,5623018,2019-10-04T21:31:34.417Z
MATERIAL IDV - LÓGIKA CREATIVE-20250915T204950Z-1-001/APRESENTAÇÃO IDENTIDADE VISUAL - LÓGIKA CREATIVE.pdf,APRESENTAÇÃO IDENTIDADE VISUAL - LÓGIKA CREATIVE.pdf,1gtv_-IMu2mVxPChnM5s8Uvg7DpARAiMc,application/pdf,76414403,2025-09-18T13:48:19.000Z
