nome_normalizado,quantidade,ids,caminhos
c0024.mp4,3,1QljtumS2XjuUknSyEqoRa27czlamGcbQ | 1Qsa8xt-r6o2OkmWktTx-gdARZg5jmiPk | 15QRmVR5dtr0EH290g4w2G8iQyxEdTA-W,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0024.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0024.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0024.MP4
c0025.mp4,3,15okxGMNuSQrT__yIuKM4EPyrwGlH9Kb3 | 1xtnQU5jechjpk39BEY4ogQ856rFc-8oD | 1WkLglGwKecrogQk73NV5du2p9c2PR6uC,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0025.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0025.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0025.MP4
c0027.mp4,3,1iZdmNRZHWtrKzwZUoNoHyXmOfEKJbqTS | 1hN644odiwDpY4Gr-E1z3UKjL-PDD_Jw6 | 1a2CQ6gnjeh8A0j4ZbGT91kDvM30STFGI,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0027.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0027.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0027.MP4
c0028.mp4,3,1ohng2jsbJotPyx7F2DWiQ7zWKcjm_yF0 | 1DMladKftf7d6B7E8xuvADLByQVE936Yp | 1eHRMVLPPSE432MrnAvqmtG79LhbKTaqv,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0028.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0028.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0028.MP4
c0029.mp4,3,1HxcEEuyHPWfwnTdBdLwBK6MdkTxxFT_i | 1Dd488CYDzCWF4xrf0EXcv8rTr74XF3Fv | 1raOKAJumkd_k89pUtsVLZsCMFb-TSnkO,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0029.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0029.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0029.MP4
c0039.mp4,3,1L58m_DwRVzcnzFUwteOPPk0sLQSax29d | 1Eq3-pTFLvGWS51Q8I4YJbmJlIeXcOpTT | 18UIbelOd1euTNpJqVEsxBLYKqJZFpadc,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0039.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0039.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0039.MP4
c0040.mp4,3,1tfsfV7nG2ajiMCNvx-0wYNIAD9ynFrnp | 1z7pfdY7dJl5hj7Q3j1U2cOdgMNexC1S- | 1PLRdJcV10OUw3BZhcro_0rQ0brzMM4Fz,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0040.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0040.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0040.MP4
c0042.mp4,3,1quK_OKAEV7xFg8CFAtQwGWQ6t4C2QsFK | 1K_mxEgatBRlPdgkHDUyAt54x33q2IQ7H | 1i5z-HZyhd4P3EgUpyZrBX7QJ45DKrbMl,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0042.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0042.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0042.MP4
c0043.mp4,3,1qk9wID94m6ux84CEKBp8ASg3YJvWEKj7 | 1m_2NujcbMmuylwG3O3yXrKthhxCGP02G | 1yi1mqWNotvIO9gNwudC10hEGGzdhimtD,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0043.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0043.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0043.MP4
c0045.mp4,3,18up-xn6bZJHJuOhnSFQ5WDbOjjA4T3pb | 1_-gnow6ff8ckXZoddIkXLEt3SG3EU3Ap | 1-iEllttj-lsTTv8LH6zKZqDo7FHxDYGK,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0045.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0045.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0045.MP4
