PATH                                                                                                                                          TYPE    SIZE       MODIFIED          ID
01_CLIENTES                                                                                                                                   folder  -          2026-07-08 04:55  1U6us-zXwjjAExu321JdLIakiypE-PFU9
02_PROJETOS                                                                                                                                   folder  -          2026-07-06 01:32  1ToxIv1hyhk_zyfml4jldYHUUtXg7Q6gF
03_EMPRESA                                                                                                                                    folder  -          2026-07-06 04:15  16e9BqRj4rk4PTLoETHBQeBJi4WQGG0wW
OUTROS                                                                                                                                        folder  -          2026-07-06 01:29  1vfLZoLnKyszLIF17iD5fRNvT_kqrTGHy
PORTIFÓLIO                                                                                                                                    folder  -          2026-07-06 03:58  1coamEdLhQUwBey726KxYkvbXfdSVrGYf
01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS                                                                                               folder  -          2026-07-08 05:09  1orJICZu8eUGpX-lVCqBta0O0llI2b5bK
01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA                                                                                                        folder  -          2026-07-02 00:43  1lU_S062PB4iKE3t-xNO-QKoKI_-QAMQL
01_CLIENTES/CÂMARA SÃO SEBASTIÃO_AL                                                                                                           folder  -          2026-07-05 23:17  1Xi7eFIDykTUhZMUhYRaRW7tMShtNDnem
01_CLIENTES/DÉ DO CAMPO - VEREADOR                                                                                                            folder  -          2026-05-22 10:59  1BZa3UPiWL4DBgh5B82yN4lxiGF6SkezL
01_CLIENTES/IRLA DA SAÚDE                                                                                                                     folder  -          2026-05-26 22:56  1BEnOa72drMKbWvkKrbpLNqf3fQpL_CNT
01_CLIENTES/ISBA                                                                                                                              folder  -          2026-07-04 05:51  1w9HsRo8Obzy86pWNgc-9MFGmfC59k0lI
01_CLIENTES/ROGÉRIO ROCHA - VEREADOR                                                                                                          folder  -          2026-07-05 23:22  1HfYI7-5iNmBWzJ5lGfAkV1-HJ1BnFHb3
01_CLIENTES/SAÚDE - SÃO SEBASTIÃO                                                                                                             folder  -          2026-07-07 07:05  1hJpqqj-ZGtMw9r9ofjkfMKvcvmzjPkXy
