id,nome,tipo,caminho_atual,destino_sugerido,confianca,acao_recomendada,motivo,modificado_em
1U6us-zXwjjAExu321JdLIakiypE-PFU9,01_CLIENTES,pasta,01_CLIENTES,99_TRIAGEM_E_QUARENTENA/revisar_com_jadielson,baixa,revisar antes de mover,triagem geral,2026-07-08T04:55:40.505Z
1orJICZu8eUGpX-lVCqBta0O0llI2b5bK,99_REVISAR_CLIENTES_NAO_CADASTRADOS,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-07-08T05:09:51.621Z
1Xw7gwb_iiMcpLDuEYALUzu364CGl6eM6,FINAIS_AMENSA,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:29.576Z
1reygx5DZTqvbU5PxaFbnAws82oSF1_FL,CATARATA_PRINCIPAL_FINAL.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/CATARATA_PRINCIPAL_FINAL.mp4,01_CLIENTES/[CLIENTE]/06_ENTREGAS_FINAIS/videos ou 04_PORTFOLIO_E_CASES/videos_aprovados_para_mostrar,média,confirmar cliente e se pode entrar no portfólio,já está em CLIENTES; vídeo final/render,2024-05-06T20:36:58.000Z
1ccn9t4K3a7kmSHzU_u7QXjFyKQCriqEP,FINAIS,pasta,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/FINAIS,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/FINAIS,alta,manter; apenas ajustar subpastas se necessário,já está em CLIENTES,2026-01-05T04:02:30.626Z
1wpBh9WS174TTP-k0GH8wwXH8D2P1IKWy,ASSINATURA AMENSA.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/FINAIS/ASSINATURA AMENSA.mp4,01_CLIENTES/[CLIENTE]/03_BANCO_DE_DADOS_DO_CLIENTE/logos_assinaturas_identidade,média,classificar por dono da marca,já está em CLIENTES; identidade visual/logo/assinatura,2024-01-17T22:22:10.000Z
1KtEQVlPwsTrznIV-HfIDv7EM7LBX98fm,COLETA INFANTIL - AMENSA.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/FINAIS/COLETA INFANTIL - AMENSA.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2023-12-14T23:48:54.000Z
1UkbQTi-2Nh-FSbLzJQgrvCu0O7Kt7msj,COLETA INFANTIL - AMENSA_1.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/FINAIS/COLETA INFANTIL - AMENSA_1.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2023-12-22T19:42:10.000Z
12ReB7yOI0YxTF6rAL1XHscwJS6pG50ex,COLETA INFANTIL 01 - AMENSA_2.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/FINAIS/COLETA INFANTIL 01 - AMENSA_2.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2023-12-22T20:05:40.000Z
1KDW1Sv5sSwCv2Zz2m4UihFzh08XarkRg,ULTRASSOM AMENSA 720p.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/FINAIS/ULTRASSOM AMENSA 720p.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-02-02T02:19:28.000Z
1NSf_twd4wPQ4EC6svz78VSqbpPy2w8Cw,ULTRASSOM AMENSA.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/FINAIS/ULTRASSOM AMENSA.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-02-02T03:02:38.000Z
1HPUZ8ZM6Wxz_arRrcBBX_eu4a4ovUWnz,ULTRASSOM AMENSA_1.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/FINAIS/ULTRASSOM AMENSA_1.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-02-15T15:51:20.000Z
1PH-Xn6X2_OpzmaAe6VpfNbBCv-uqDQhP,GERIATRA_AMENSA_PREVIEW.mp4,video/mp4,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_AMENSA/GERIATRA_AMENSA_PREVIEW.mp4,01_CLIENTES/[CLIENTE]/04_PRODUCAO_BRUTA/videos_brutos,média,confirmar cliente/evento antes de mover,já está em CLIENTES; vídeo bruto/projeto,2024-03-29T14:58:18.000Z
